i lsa bert
267 0.137112 0.115608
268 0.136884 0.114387
269 0.136381 0.113542
270 0.136133 0.113328
271 0.135825 0.112517
272 0.135280 0.111772
273 0.135079 0.109931
274 0.134737 0.109004
275 0.134226 0.108046
276 0.133755 0.107044
277 0.133509 0.106516
278 0.133390 0.105883
279 0.132703 0.104109
280 0.132064 0.103324
281 0.131123 0.101820
282 0.130961 0.099803
283 0.130300 0.099547
284 0.130207 0.098330
285 0.129446 0.098041
286 0.129284 0.097163
287 0.128787 0.096397
288 0.127816 0.095487
289 0.127636 0.094278
290 0.126763 0.092701
291 0.126411 0.092141
292 0.125464 0.090610
293 0.124242 0.089484
294 0.123467 0.088626
295 0.122365 0.088153
296 0.115417 0.087256
297 0.103456 0.085878
298 0.089432 0.084102
299 0.078695 0.083732
300 0.058825 0.082746
