i lsa bert
1 1.0 1.0
2 0.2966301626225105 0.8028948307037354
3 0.2792464684375355 0.731499969959259
4 0.2533943559707859 0.700839638710022
5 0.24260277054081644 0.6366419792175293
6 0.23649944408261642 0.5969400405883789
7 0.22261128303760305 0.5150966644287109
8 0.22020242271343135 0.4657798707485199
9 0.21482108242326645 0.4539552628993988
10 0.20540352908720536 0.41975992918014526
11 0.20231058141870245 0.4179007112979889
12 0.1972742859607101 0.40300825238227844
13 0.18952355359422138 0.4018615782260895
14 0.1890530643458513 0.39954644441604614
15 0.18674585449597647 0.39208734035491943
16 0.18237187969101307 0.3787860870361328
17 0.1799671991009035 0.37229838967323303
18 0.17955613311411908 0.36053329706192017
19 0.17765333377013792 0.3548334836959839
20 0.1763989412333993 0.35423576831817627
21 0.17447136919369644 0.3390515148639679
22 0.17339312322667325 0.3376085162162781
23 0.1731530345116014 0.33565279841423035
24 0.17207857336325416 0.3306925892829895
25 0.17149004571633908 0.32320716977119446
26 0.17050604571411265 0.3159237504005432
27 0.16984418825289538 0.3155333399772644
28 0.1690874329139522 0.31364956498146057
29 0.16877472452197811 0.31114673614501953
30 0.16780357439426072 0.3059207797050476
31 0.16710103831256018 0.30582091212272644
32 0.1668002435980271 0.30262961983680725
33 0.16584093909931993 0.30131781101226807
34 0.1647742854691332 0.2963038384914398
35 0.16435537312755316 0.2939302325248718
36 0.1640083275103626 0.2919609248638153
37 0.16355258891246166 0.28858494758605957
38 0.16313644098887384 0.28749018907546997
39 0.16233885992385652 0.28449082374572754
40 0.1617610942556971 0.28302139043807983
41 0.16127419461536413 0.28056055307388306
42 0.16080565355030796 0.2768608629703522
43 0.16033966324481855 0.2761407494544983
44 0.16015943105762334 0.2744399607181549
45 0.15937980953553163 0.27426305413246155
46 0.1586197854631555 0.2710813581943512
47 0.15813303764830983 0.2703913450241089
48 0.1575212683682834 0.26844704151153564
49 0.15702111921999762 0.26591232419013977
50 0.15657724334772785 0.26411664485931396
51 0.15648889187703335 0.26329728960990906
52 0.15604190911795796 0.262654185295105
53 0.15534739416289328 0.2591397762298584
54 0.15517133562425983 0.25823959708213806
55 0.15476178472199242 0.2570933997631073
56 0.15361677601394597 0.25508373975753784
57 0.15323439412842424 0.25395095348358154
58 0.15296981500732632 0.2514965534210205
59 0.15276623122766875 0.2503055930137634
60 0.15166874182253737 0.24893565475940704
61 0.1511045378652317 0.2482175976037979
62 0.15068655271497644 0.245578795671463
63 0.1505065815944544 0.24423032999038696
64 0.15010436385102963 0.24156618118286133
65 0.1494533795018519 0.240463986992836
66 0.14905964431952134 0.23994441330432892
67 0.1487828058304497 0.2374664694070816
68 0.14806968415495453 0.2371027022600174
69 0.14777258198841325 0.2355911284685135
70 0.14764611883000953 0.23353873193264008
71 0.1474164569350266 0.23285020887851715
72 0.14700128544322166 0.2318411022424698
73 0.14641146148550419 0.23085449635982513
74 0.1460792308606579 0.23020243644714355
75 0.14593630930474905 0.22955042123794556
76 0.14501737621084798 0.22900833189487457
77 0.14476505965273415 0.22633783519268036
78 0.14442647448061238 0.22540724277496338
79 0.14384702292829335 0.22435854375362396
80 0.14312142008537226 0.2236526608467102
81 0.14262905279642282 0.2234119474887848
82 0.14208063705422702 0.22145958244800568
83 0.14127218996191537 0.22061274945735931
84 0.14094226479479136 0.21956445276737213
85 0.14026286104865535 0.21892677247524261
86 0.13972853694114473 0.2178095579147339
87 0.13906330358638594 0.2159734070301056
88 0.13857516124506947 0.21515747904777527
89 0.1369753814371979 0.21424244344234467
90 0.13668642091558736 0.2136286348104477
91 0.13616510793344416 0.21226008236408234
92 0.1350670977472459 0.21105094254016876
93 0.1334076107197364 0.21010513603687286
94 0.12938750217752745 0.20917968451976776
95 0.1288535090755474 0.20852723717689514
96 0.12673401724397163 0.20801812410354614
97 0.1260657732941619 0.2069419026374817
98 0.12394993195171239 0.20449265837669373
99 0.12280767051411211 0.20341838896274567
100 0.11931990376915204 0.20328575372695923
